<Andriod start> book,20170125_104252,梅州,《Android应用开发完全自学手册》,
<C++ start> book,20170125_102805,梅州,《C++从零开始》,
<PCB design> book,20170125_104837,梅州,《电路板设计》,
<soildwork start> book,20170125_104409,梅州,《soildwork》,
<uc/os> book,20170125_102457,梅州,《嵌入式实时操作系统uc/os-II经典实例》,
4096 encoder,20170221_125828,武理宿舍,,
4096 encoder,20170430_210704,发往华科,4096绝对编码器,
4096 encoder,20170502_094034,华科实验室,,
anemoscope 1,20170125_112030,梅州,风速计1,1
anemoscope 2,20170125_112130,梅州,风速计2,2
guitar,20170221_125326,武理宿舍,,
guitar,20170615_100648,华科实验室,,
headset+bluetooth,20170430_205924,发往华科,骨传导耳机,
headset+bluetooth,20170502_093733,华科实验室,,
K60 hawx board,20170221_125006,武理宿舍,,
K60 hawx board,20170614_103445,华科实验室,,
K64 BOARD,20170221_125202,武理宿舍,,
K64 BOARD,20170227_193529,华科实验室,,
LDC1314+Coil,20170125_111905,梅州,LDC1314及其附件,
logic analyzer,20170125_113431,梅州,逻辑分析仪,
logic analyzer,20170215_224209,装包回武汉,,
logic analyzer,20170219_180941,武理宿舍,,
logic analyzer,20170531_151134,华科实验室,,
Magnetic+generator ,20170430_210349,发往华科,电磁赛道发生器,
Magnetic+generator ,20170502_093959,华科实验室,,
main monitor,20170221_125605,武理宿舍,,
main monitor,20170610_130213,华科实验室,,
mi 4c,20170221_130502,武理宿舍,,
mi 4c,20170610_121339,华科实验室,,
mi air cleaner,20170309_164434,鉴湖实验室,,
mi router ,20170618,华科实验室,,
mi router ,20170430_211015,武理宿舍,小米路由,
mini monitor,20170221_130017,武理宿舍,,
mini monitor,20170430_210527,发往华科,,
mini monitor,20170502_093947,华科实验室,,
monitor SIBOLAN balck,20170125_112624,梅州,斯波兰显示器,
monitor SIBOLAN balck,20170215_221556,装包回武汉,,
monitor SIBOLAN balck,20170219_202224,武理宿舍,,
monitor SIBOLAN balck,20170310_093612,华科实验室,,
msp430 tm4c123 board,20170221_132201,武理宿舍,,
msp430 tm4c123 board,20170227_193611,华科实验室,,
msp430 tm4c123 board,20170416_182458,回理工宿舍,,
msp430 tm4c123 board,20170430_210154,发往华科,,
msp430 tm4c123 board,20170502_093720,华科实验室,,
multimeter yellow VC9805A,20170125_112933,梅州,万用表 黄色,
multimeter yellow VC9805A,20170215_224348,装包回武汉,,
multimeter yellow VC9805A,20170219_181236,武理宿舍,,
multimeter yellow VC9805A,20170430_210432,发往华科,,
multimeter yellow VC9805A,20170502_093752,华科实验室,,
opencv书*2,,华科实验室,,
oscillograph by stm32,20170221_131315,武理宿舍,,
oscillograph by stm32,20170430_211601,发往华科,示波器,
oscillograph by stm32,20170502_093830,华科实验室,,
peanut shell 1,20170125_102659,梅州,花生壳,1
peanut shell2,20170430_210244,发往华科,花生壳2,
peanut shell2,20170502_094017,华科实验室,,
peanut shell3,20170430_210135,发往华科,花生壳3,
peanut shell3,20170502_093932,华科实验室,,
peripheral+box1,20170430_211207,武理宿舍,模块盒1,
peripheral+box1,20170621_151105,华科实验室,,
peripheral+box2,20170430_210801,发往华科,模块盒2,
peripheral+box2,20170502_094058,华科实验室,,
pixhawk all unit,20170125_113314,梅州,pixhawk飞控,
pixhawk all unit,20170201_105107,清除,,
PMSM 1 24V,20170125_112326,梅州,永磁同步电机,
PMSM 1 24V,20170215_224704,装包回武汉,,
PMSM 1 24V,20170219_181154,武理宿舍,,
PMSM 1 24V,20170321_192701,鉴湖实验室,,
PMSM 1 24V,20170611_112528,华科实验室,,
px4flow,20170125_103225,梅州,光流传感器,
raspberry Pi3  1,20170125_112506,梅州,树莓派3,1
raspberry Pi3  1,20170215_224940,装包回武汉,,
raspberry Pi3  1,20170219_180926,武理宿舍,,
raspberry Pi3  1,20170611_112517,华科实验室,,
raspberry+peripherals1,20170430_205411,发往华科,树莓派扩展板1,
raspberry+peripherals1,20170502_093905,华科实验室,,
raspberry+peripherals2,20170430_205730,发往华科,树莓派扩展板2,
raspberry+peripherals2,20170502_093850,华科实验室,,
raspberry2B 1,20170221_130152,武理宿舍,,
raspberry2B 1,20170227_193550,华科实验室,,
smart glasses 2,20170125_112748,梅州,智能眼镜2,
smart glasses 2,20170215_224630,装包回武汉,,
smart glasses 2,20170219_205031,武理宿舍,,
smart glasses 2,20170430_210406,发往华科,,
smart glasses 2,20170502_094432,华科实验室,,
smartglass V1.0,20170125_103614,梅州,智能眼镜1,
SSD,20170430_211306,武理宿舍,固态硬盘,
SSD,20170531_151336,华科实验室,,
stm32 ucos board,20170221_132322,借出,,
stm32 ucos board,20170507_090401,华科实验室,,
wireless keyboard,20170125_111746,梅州,树莓派无线键盘,
wireless keyboard,20170215_224906,装包回武汉,,
wireless keyboard,20170219_180815,武理宿舍,,
wireless keyboard,20170430_210542,发往华科,,
wireless keyboard,20170502_093813,华科实验室,,
xbox,20170620,华科实验室,,
xbox,20170430_211433,武理宿舍,xbox手柄,
zedboard,20170125_103716,梅州,zedboard 开发板,
zedboard,20170125_113118,梅州,zedboard开发板,
zedboard,20170215_223433,装包回武汉,,
zedboard,20170215_223625,装包回武汉,,
zedboard,20170215_223731,装包回武汉,,
zedboard,20170215_223741,装包回武汉,,
zedboard,20170219_180843,武理宿舍,,
zedboard,20170610_121607,华科实验室,,
码号,时间,位置,名称,版本号
芯片盒,,华科实验室,,
